,Experiment 1,Experiment 2,Experiment 3,Experiment 4
,,,,
Total Dist. (km),6998,6575,6746,No solution
Route:,,,,
0,Przemysl,Przemysl,Przemysl,No solution
1,Uzhhorod,Drohobych,Drohobych,
2,Mukacheve,Lviv,Lviv,
3,Ivano-Frankivsk,Ternopil,Ternopil,
4,Chernivtsi,Lutsk,Lutsk,
5,Kamianets-Podilskyi,Rivne,Rivne,
6,Khmelnytskyi,Zhytomyr,Zhytomyr,
7,Vinnytsia,Bila Tserkva,Bila Tserkva,
8,Uman,Kyiv,Kyiv,
9,Kropyvnytskyi,Brovary,Chernihiv,
10,Kherson,Chernihiv,Brovary,
11,Yevpatoriia,Konotop,Cherkasy,
12,Sevastopol,Sumy,Kremenchuk,
13,Simferopol,Kharkiv,Kamianske,
14,Melitopol,Poltava,Zaporizhzhia,
15,Berdiansk,Kamianske,Dnipro,
16,Mariupol,Zaporizhzhia,Pavlohrad,
17,Donetsk,Dnipro,Poltava,
18,Makiivka,Pavlohrad,Konotop,
19,Horlivka,Kramatorsk,Sumy,
20,Khrustalnyi,Sloviansk,Kharkiv,
21,Dovzhansk,Sievierodonetsk,Sloviansk,
22,Luhansk,Lysychansk,Kramatorsk,
23,Alchevsk,Alchevsk,Sievierodonetsk,
24,Lysychansk,Luhansk,Lysychansk,
25,Sievierodonetsk,Dovzhansk,Alchevsk,
26,Kramatorsk,Khrustalnyi,Luhansk,
27,Sloviansk,Horlivka,Dovzhansk,
28,Kharkiv,Makiivka,Khrustalnyi,
29,Poltava,Donetsk,Horlivka,
30,Kremenchuk,Mariupol,Makiivka,
31,Kamianske,Berdiansk,Donetsk,
32,Dnipro,Melitopol,Mariupol,
33,Pavlohrad,Simferopol,Berdiansk,
34,Zaporizhzhia,Sevastopol,Melitopol,
35,Nikopol,Yevpatoriia,Simferopol,
36,Kryvyi Rih,Kherson,Sevastopol,
37,Mykolaiv,Nikopol,Yevpatoriia,
38,Odesa,Kryvyi Rih,Kherson,
39,Cherkasy,Kremenchuk,Nikopol,
40,Sumy,Cherkasy,Kryvyi Rih,
41,Konotop,Kropyvnytskyi,Kropyvnytskyi,
42,Chernihiv,Mykolaiv,Mykolaiv,
43,Brovary,Odesa,Odesa,
44,Kyiv,Uman,Uman,
45,Bila Tserkva,Vinnytsia,Vinnytsia,
46,Zhytomyr,Khmelnytskyi,Khmelnytskyi,
47,Rivne,Kamianets-Podilskyi,Kamianets-Podilskyi,
48,Lutsk,Chernivtsi,Chernivtsi,
49,Ternopil,Ivano-Frankivsk,Ivano-Frankivsk,
50,Lviv,Mukacheve,Mukacheve,
51,Drohobych,Uzhhorod,Uzhhorod,
52,Przemysl,Przemysl,Przemysl,
